id_pedido,id_usuario,fecha_hora_pedido,pais,dispositivo,fuente_referencia,nombre_producto,categoria_producto,cantidad,precio_unitario,monto_descuento,monto_total
order_25,user_540,2025-03-08,Argentina,,social,Vacuum-Pro-Black,Hogar,1,183.5,5,178.5
order_26,user_1951,2025-02-10,Colombia,,organic,Blender-XL-Red,Hogar,1,331.52,15,316.52
order_27,user_5410,2025-05-09,colombia,,paid_search,Phone-Pro-128GB,Electronica,2,449.48,5,893.96
order_28,user_1489,2025-01-17,Mexico,,social,Phone-Pro-128GB,Electronica,1,60.7,10,50.7
order_29,user_5197,2025-01-30,Colombia,,social,Phone-Pro-128GB,Electronica,1,381.57,0,381.57
order_30,user_5386,2025-01-31,Mexico,,social,Vacuum-Pro-Black,Hogar,1,183.74,10,173.74
order_31,user_5766,2025-05-05,Colombia,,paid_search,Vacuum-Pro-Black,Hogar,1,480.74,0,480.74
order_32,user_4400,2025-03-29,Mexico,,social,Tablet-Standard-64GB,Electronica,1,117.69,0,117.69
order_33,user_5070,2025-01-12,Argentina,,paid_search,Tablet-Standard-64GB,Electronica,1,96.82,10,86.82
order_34,user_579,2025-05-23,Mexico,,social,Sneakers-Urban-42,Moda,1,174.85,0,174.85
order_35,user_3817,2025-02-08,Mexico,,organic,Blender-XL-Red,Hogar,2,467.34,5,929.69
order_36,user_28,2025-05-12,Colombia,,paid_search,Sneakers-Urban-42,Moda,2,136.4,15,257.79
order_37,user_6345,2025-01-27,Colombia,,paid_search,Sneakers-Urban-42,Moda,1,429.26,5,424.26
order_38,user_4024,2025-04-23,Argentina,,organic,Phone-Pro-128GB,Electronica,2,115.96,5,226.92
order_39,user_7855,2025-01-29,Colombia,,paid_search,Blender-XL-Red,Hogar,1,58.16,0,58.16
order_40,user_6891,2025-06-06,Mexico,,social,Vacuum-Pro-Black,Hogar,2,319.28,0,638.56
order_41,user_2963,2025-01-27,Mexico,,social,Jacket-Winter-M,Moda,2,37.77,10,65.53
order_42,user_3944,2025-01-11,Mexico,,social,Sneakers-Urban-42,Moda,1,253.63,5,248.63
order_43,user_6949,2025-02-12,Colombia,,social,Laptop-Gaming-16GB,Electronica,1,415.13,0,415.13
order_44,user_2899,2025-02-22,Colombia,desktop,,,,1,318.38,5,313.38
order_45,user_6196,2025-02-10,Mexico,mobile,,,,2,354.06,10,698.12
order_46,user_5815,2025-04-24,Mexico,mobile,,,,1,359.31,10,349.31
order_47,user_406,2025-05-08,Colombia,mobile,,,,2,476.78,0,953.56
order_48,user_6187,2025-01-26,Colombia,desktop,,,,2,137.96,0,275.93
order_49,user_7225,2025-04-04,Argentina,desktop,,,,2,433.76,0,867.53
order_50,user_1840,2025-02-05,Mexico,desktop,,,,1,495.38,5,490.38
order_51,user_5998,2025-02-21,Mexico,desktop,,,,2,382.94,0,765.89
order_52,user_5679,2025-04-17,Argentina,mobile,,,,2,415.01,0,830.01
order_53,user_5936,2025-01-02,Argentina,desktop,,,,2,236.49,0,472.98
order_54,user_3507,2025-05-02,Colombia,mobile,,,,1,56.5,0,56.5
order_55,user_2685,2025-05-10,Argentina,desktop,,,,1,326.15,5,321.15
order_56,user_6018,2025-03-10,Colombia,mobile,,,,1,120.43,0,120.43
order_57,user_4030,2025-04-17,Argentina,desktop,,,,1,85.87,15,70.87
order_58,user_6075,2025-06-20,Mexico,mobile,,,,1,331.45,10,321.45
order_59,user_6592,2025-05-16,Mexico,mobile,,,,2,113.04,15,211.08
order_60,user_5634,2025-02-28,Argentina,desktop,,,,2,319.85,0,639.69
order_61,user_3855,2025-04-20,Colombia,desktop,,,,2,471.91,0,943.83
order_62,user_5199,2025-04-15,Argentina,desktop,,,,1,69.82,0,69.82
order_63,user_679,2025-05-13,Argentina,mobile,,,,2,437.98,10,865.95
order_64,user_6697,2025-04-03,Mexico,mobile,,,,1,35.5,10,25.5
order_65,user_2495,2025-04-24,Argentina,desktop,,,,2,120,10,230
order_66,user_5186,2025-01-03,Mexico,desktop,,,,1,269.68,0,269.68
order_67,user_2319,2025-05-13,Mexico,mobile,,,,1,390.6,15,375.6
order_68,user_2923,2025-01-22,Mexico,mobile,,,,2,289.49,0,578.99
order_69,user_3616,2025-04-13,Mexico,desktop,,,,1,350.87,0,350.87
order_70,user_3431,2025-02-12,Mexico,mobile,,,,2,26.86,0,53.73
order_71,user_4193,2025-04-11,Mexico,desktop,,,,1,195.52,0,195.52
order_72,user_1741,2025-06-19,Mexico,mobile,,,,1,81.39,0,81.39
order_73,user_834,2025-02-08,Colombia,mobile,,,,2,234.24,5,463.48
order_74,user_6172,2025-01-15,Argentina,desktop,organic,Sneakers-Urban-42,,,,,595.85
order_75,user_6588,2025-06-19,Colombia,mobile,organic,Sneakers-Urban-42,,,,,458.15
order_76,user_3193,2025-03-17,Argentina,mobile,paid_search,Laptop-Gaming-16GB,,,,,319.75
order_77,user_775,2025-06-24,Argentina,desktop,social,Vacuum-Pro-Black,,,,,227.55
order_78,user_2702,2025-03-19,Argentina,desktop,paid_search,Phone-Pro-128GB,,,,,432.39
order_79,user_6438,2025-03-22,Colombia,desktop,paid_search,Sneakers-Urban-42,,,,,527.15
order_80,user_6790,2025-01-03,Mexico,desktop,organic,Vacuum-Pro-Black,,,,,711.18
order_81,user_232,2025-05-16,Mexico,mobile,paid_search,Tablet-Standard-64GB,,,,,41.08
order_82,user_5665,2025-02-07,Colombia,mobile,paid_search,Sneakers-Urban-42,,,,,431.55
order_83,user_5225,2025-04-25,Argentina,mobile,organic,Sneakers-Urban-42,,,,,279.35
order_84,user_5599,2025-05-20,Colombia,desktop,organic,Laptop-Gaming-16GB,,,,,785.89
order_85,user_4051,2025-06-08,Argentina,mobile,organic,Jacket-Winter-M,,,,,576.13
order_86,user_2260,2025-06-28,Argentina,mobile,social,Tablet-Standard-64GB,,,,,49.8
order_87,user_88,2025-06-16,Argentina,mobile,organic,Tablet-Standard-64GB,,,,,143.11
order_88,user_7208,2025-02-20,Colombia,mobile,paid_search,Blender-XL-Red,,,,,856.06
order_89,user_3453,2025-01-22,mexico,desktop,social,Vacuum-Pro-Black,,,,,222.21
order_90,user_1399,2025-03-27,Argentina,mobile,social,Laptop-Gaming-16GB,,,,,85.71
order_91,user_7433,2025-02-02,Colombia,desktop,organic,Sneakers-Urban-42,,,,,474.59
order_92,user_5356,2025-05-19,Argentina,mobile,paid_search,Sneakers-Urban-42,,,,,271.43
order_93,user_5669,2025-01-24,Colombia,mobile,social,Blender-XL-Red,,,,,359.47
order_94,user_6546,2025-03-21,Argentina,desktop,social,Blender-XL-Red,,,,,786.75
order_95,user_7762,2025-06-12,Mexico,mobile,paid_search,Jacket-Winter-M,,,,,444.51
order_96,user_6131,2025-01-08,Argentina,desktop,paid_search,Vacuum-Pro-Black,,,,,467.88
order_97,user_588,2025-05-19,Mexico,desktop,social,Tablet-Standard-64GB,,,,,265.43
order_98,user_979,2025-03-03,Mexico,desktop,social,Jacket-Winter-M,,,,,967.85
order_99,user_2369,2025-03-19,Colombia,desktop,organic,Jacket-Winter-M,,,,,713
order_100,user_4363,2025-05-10,Argentina,desktop,paid_search,Vacuum-Pro-Black,,,,,960.22
order_101,user_36,2025-01-16,Colombia,mobile,organic,Jacket-Winter-M,,,,,100.77
order_102,user_391,2025-03-08,Mexico,desktop,social,Jacket-Winter-M,,,,,55.82
order_103,user_3484,2025-04-01,Mexico,desktop,social,Sneakers-Urban-42,,,,,211.94
order_104,user_2464,2025-06-16,Mexico,mobile,social,Vacuum-Pro-Black,,,,,353.11
order_105,user_280,2025-04-25,Mexico,desktop,organic,Sneakers-Urban-42,,,,,469.46
order_106,user_1809,2025-01-02,Colombia,mobile,social,Sneakers-Urban-42,,,,,441.83
order_107,user_1519,2025-03-02,Argentina,mobile,organic,Sneakers-Urban-42,,,,,461.63
order_108,user_7525,2025-05-29,Mexico,mobile,paid_search,Sneakers-Urban-42,,,,,546.31
order_109,user_3338,2025-06-10,Colombia,desktop,paid_search,Jacket-Winter-M,,,,,101.03
order_110,user_333,2025-06-02,Argentina,mobile,organic,Jacket-Winter-M,,,,,472.7
order_111,user_2473,2025-03-18,Argentina,desktop,paid_search,Phone-Pro-128GB,,,,,223.12
order_112,user_5702,2025-05-27,Argentina,desktop,social,Laptop-Gaming-16GB,,,,,705.88
order_113,user_1957,2025-04-07,Colombia,desktop,social,Tablet-Standard-64GB,,,,,348.78
order_114,user_4112,2025-03-05,Colombia,desktop,organic,Sneakers-Urban-42,,,,,695.79
order_115,user_7093,2025-05-13,Mexico,desktop,paid_search,Jacket-Winter-M,,,,,338.53
order_116,user_1350,2025-04-03,Argentina,mobile,organic,Sneakers-Urban-42,,,,,977.36
order_117,user_3298,2025-02-07,Argentina,mobile,organic,Sneakers-Urban-42,,,,,49.5
order_118,user_1649,2025-04-16,argentina,mobile,paid_search,Phone-Pro-128GB,,,,,447.72
order_119,user_4494,2025-01-16,Argentina,mobile,social,Sneakers-Urban-42,,,,,196.45
order_120,user_4220,2025-02-03,Mexico,mobile,organic,Sneakers-Urban-42,,,,,355.15
order_121,user_2114,2025-04-25,colombia,desktop,social,Sneakers-Urban-42,,,,,724.38
order_122,user_2546,2025-06-23,Mexico,desktop,paid_search,Sneakers-Urban-42,,,,,469.2
order_123,user_7515,2025-05-31,Colombia,desktop,organic,Jacket-Winter-M,,,,,427.5
order_124,user_6671,2025-04-12,,mobile,organic,Blender-XL-Red,Hogar,1,298.44,5,293.44
order_125,user_5263,2025-05-30,,mobile,organic,Tablet-Standard-64GB,Electronica,1,133.13,0,133.13
order_126,user_4952,2025-04-19,,desktop,paid_search,Phone-Pro-128GB,Electronica,2,177.23,0,354.45
order_127,user_2619,2025-06-26,,desktop,paid_search,Tablet-Standard-64GB,Electronica,1,329.53,10,319.53
order_128,user_2444,2025-05-06,,desktop,social,Vacuum-Pro-Black,Hogar,2,218.43,0,436.86
order_129,user_7157,2025-04-17,,desktop,paid_search,Sneakers-Urban-42,Moda,1,367.88,10,357.88
order_130,user_3279,2025-02-06,,desktop,paid_search,Vacuum-Pro-Black,Hogar,1,114.83,0,114.83
order_131,user_2914,2025-05-05,,mobile,organic,Blender-XL-Red,Hogar,1,117.84,10,107.84
order_132,user_2173,2025-02-03,,desktop,organic,Tablet-Standard-64GB,Electronica,1,383.84,0,383.84
order_133,user_4038,2025-05-12,,mobile,social,Vacuum-Pro-Black,Hogar,2,345.85,0,691.69
order_134,user_3987,2025-01-31,,mobile,paid_search,Blender-XL-Red,Hogar,1,313.25,10,303.25
order_135,user_7789,2025-04-27,,desktop,social,Vacuum-Pro-Black,Hogar,1,465.32,0,465.32
order_136,user_6937,2025-02-10,,desktop,organic,Blender-XL-Red,Hogar,2,211.05,15,407.09
order_137,user_5299,2025-04-05,,mobile,social,Vacuum-Pro-Black,Hogar,1,379.06,0,379.06
order_138,user_525,2025-01-31,,desktop,social,Vacuum-Pro-Black,Hogar,1,162.37,15,147.37
order_139,user_967,2025-04-15,,mobile,organic,Blender-XL-Red,Hogar,1,449.32,0,449.32
order_140,user_2308,2025-04-05,,desktop,social,Jacket-Winter-M,Moda,1,107.28,0,107.28
order_141,user_5234,2025-01-11,,mobile,paid_search,Blender-XL-Red,Hogar,2,400.21,0,800.43
order_142,user_4453,2025-01-31,,desktop,social,Jacket-Winter-M,Moda,2,425.61,0,851.21
order_143,user_6655,2025-04-06,,mobile,organic,Sneakers-Urban-42,Moda,2,477.23,15,939.46
order_144,user_5041,2025-05-05,,mobile,organic,Blender-XL-Red,Hogar,2,177.04,10,344.08
order_145,user_5001,2025-02-06,,desktop,organic,Blender-XL-Red,Hogar,1,286.93,5,281.93
order_146,user_6983,2025-05-31,,mobile,paid_search,Blender-XL-Red,Hogar,1,401.15,5,396.15
order_147,user_6602,2025-03-20,,mobile,organic,Jacket-Winter-M,Moda,2,340.58,0,681.16
order_148,user_3543,2025-02-25,,desktop,social,Tablet-Standard-64GB,Electronica,1,414.64,0,414.64
order_149,user_6151,2025-05-06,,desktop,organic,Tablet-Standard-64GB,Electronica,1,58.8,0,58.8
order_150,user_5524,2025-05-21,,desktop,paid_search,Tablet-Standard-64GB,Electronica,1,131.89,10,121.89
order_151,user_2376,2025-01-12,,desktop,paid_search,Laptop-Gaming-16GB,Electronica,1,369.86,10,359.86
order_152,user_6776,2025-05-27,,mobile,organic,Vacuum-Pro-Black,Hogar,2,101.69,15,188.37
order_153,user_4363,2025-04-26,,desktop,social,Jacket-Winter-M,Moda,2,462.45,15,909.89
order_154,user_3842,2025-04-07,,desktop,social,Vacuum-Pro-Black,Hogar,2,173.48,0,346.96
order_155,user_2167,2025-06-05,,mobile,organic,Sneakers-Urban-42,Moda,1,450.43,5,445.43
order_156,user_386,2025-02-05,,desktop,organic,Sneakers-Urban-42,Moda,2,149.1,5,293.2
order_157,user_4730,2025-04-28,,mobile,social,Vacuum-Pro-Black,Hogar,2,73.87,15,132.75
order_158,user_3271,2025-06-20,,desktop,organic,Blender-XL-Red,Hogar,1,391.24,0,391.24
order_159,user_6535,2025-03-25,,desktop,social,Tablet-Standard-64GB,Electronica,2,481.61,0,963.22
order_160,user_6067,2025-06-09,,desktop,social,Sneakers-Urban-42,Moda,2,89.24,10,168.48
order_161,user_6287,2025-04-15,,mobile,paid_search,Phone-Pro-128GB,Electronica,1,319.38,0,319.38
order_162,user_4209,2025-04-12,,mobile,social,Vacuum-Pro-Black,Hogar,1,27.7,15,12.7
order_163,user_7532,2025-01-12,,mobile,organic,Sneakers-Urban-42,Moda,1,312.64,0,312.64
order_164,user_4202,2025-04-24,,mobile,organic,Tablet-Standard-64GB,Electronica,1,416.02,0,416.02
order_165,user_1958,2025-06-15,,desktop,social,Sneakers-Urban-42,Moda,2,130.98,5,256.95
order_166,user_3856,2025-02-12,,desktop,paid_search,Sneakers-Urban-42,Moda,1,50.31,10,40.31
order_167,user_2658,2025-05-27,,mobile,paid_search,Phone-Pro-128GB,Electronica,1,41.61,0,41.61
order_168,user_26,2025-03-21,,desktop,paid_search,Phone-Pro-128GB,Electronica,1,451.71,5,446.71
order_169,user_7215,2025-02-01,,mobile,paid_search,Blender-XL-Red,Hogar,1,205.42,0,205.42
order_170,user_4780,2025-01-22,,desktop,social,Phone-Pro-128GB,Electronica,2,405.07,0,810.14
order_171,user_3243,2025-06-08,,desktop,paid_search,Blender-XL-Red,Hogar,2,155.61,10,301.23
order_172,user_1918,2025-01-14,,desktop,organic,Laptop-Gaming-16GB,Electronica,1,490.44,10,480.44
order_173,user_3776,2025-05-14,,desktop,paid_search,Jacket-Winter-M,Moda,2,319.58,0,639.16
order_174,user_7885,2025-05-02,,mobile,organic,Vacuum-Pro-Black,Hogar,2,46.38,0,92.76
order_175,user_5432,2025-01-05,,mobile,social,Jacket-Winter-M,Moda,1,433.59,0,433.59
order_176,user_3422,2025-05-17,,mobile,organic,Blender-XL-Red,Hogar,2,70.64,5,136.27
order_177,user_1962,2025-01-05,,mobile,social,Jacket-Winter-M,Moda,2,407.16,10,804.33
order_178,user_3935,2025-02-22,,mobile,social,Blender-XL-Red,Hogar,1,394.02,0,394.02
order_179,user_4944,2025-06-30,,desktop,paid_search,Tablet-Standard-64GB,Electronica,2,299.32,0,598.65
order_180,user_203,2025-05-29,,desktop,paid_search,Sneakers-Urban-42,Moda,2,451.16,15,887.31
order_181,user_1032,2025-05-17,,mobile,paid_search,Tablet-Standard-64GB,Electronica,1,331.62,0,331.62
order_182,user_3264,2025-04-13,,desktop,paid_search,Laptop-Gaming-16GB,Electronica,2,118.91,0,237.81
order_183,user_1610,2025-05-06,,desktop,organic,Sneakers-Urban-42,Moda,2,124.23,10,238.46
order_184,user_7528,2025-01-06,,desktop,paid_search,Laptop-Gaming-16GB,Electronica,2,118.27,0,236.54
order_185,user_5790,2025-02-16,,desktop,paid_search,Jacket-Winter-M,Moda,2,41.08,0,82.16
order_186,user_6360,2025-05-16,,desktop,paid_search,Vacuum-Pro-Black,Hogar,1,319.34,0,319.34
order_187,user_2335,2025-03-07,,desktop,paid_search,Laptop-Gaming-16GB,Electronica,1,300.46,10,290.46
order_188,user_7144,2025-01-26,,desktop,paid_search,Vacuum-Pro-Black,Hogar,1,384.46,15,369.46
order_189,user_722,2025-03-15,,mobile,paid_search,Vacuum-Pro-Black,Hogar,1,405.64,5,400.64
order_190,user_5830,2025-03-07,,desktop,paid_search,Tablet-Standard-64GB,Electronica,1,426.76,5,421.76
order_191,user_1894,2025-02-09,,mobile,social,Blender-XL-Red,Hogar,2,407.49,0,814.97
order_192,user_3638,2025-04-15,,desktop,paid_search,Sneakers-Urban-42,Moda,2,428.74,0,857.48
order_193,user_3847,2025-01-16,,mobile,social,Blender-XL-Red,Hogar,1,91.89,5,86.89
order_194,user_4978,2025-03-25,,desktop,social,Blender-XL-Red,Hogar,2,227.89,15,440.77
order_195,user_3364,2025-01-15,,desktop,paid_search,Vacuum-Pro-Black,Hogar,1,32.28,15,17.28
order_196,user_1162,2025-01-26,,mobile,paid_search,Jacket-Winter-M,Moda,1,370.92,5,365.92
order_197,user_305,2025-04-16,,desktop,organic,Blender-XL-Red,Hogar,1,473.27,0,473.27
order_198,user_557,2025-03-08,,mobile,paid_search,Blender-XL-Red,Hogar,2,308.81,5,612.62
order_199,user_4352,2025-01-31,,desktop,social,Sneakers-Urban-42,Moda,1,161.11,5,156.11
order_200,user_6085,2025-03-03,,mobile,paid_search,Vacuum-Pro-Black,Hogar,1,75.6,0,75.6
order_201,user_2480,2025-05-31,,mobile,social,Tablet-Standard-64GB,Electronica,2,388.91,0,777.82
order_202,user_4118,2025-05-11,,mobile,social,Laptop-Gaming-16GB,Electronica,1,477.39,0,477.39
order_203,user_6043,2025-04-09,,desktop,social,Laptop-Gaming-16GB,Electronica,2,69.57,0,139.14
order_204,user_6058,2025-03-10,,desktop,organic,Phone-Pro-128GB,Electronica,2,411.23,10,812.45
order_205,user_2941,2025-04-29,,desktop,organic,Laptop-Gaming-16GB,Electronica,2,31.01,0,62.03
order_206,user_113,2025-01-17,,desktop,organic,Blender-XL-Red,Hogar,1,271.73,5,266.73
order_207,user_3565,2025-04-15,,desktop,organic,Sneakers-Urban-42,Moda,2,264.86,0,529.73
order_208,user_7353,2025-01-05,,mobile,organic,Vacuum-Pro-Black,Hogar,2,258.83,10,507.65
order_209,user_5107,2025-05-31,,mobile,paid_search,Laptop-Gaming-16GB,Electronica,2,112.42,5,219.85
order_210,user_1338,2025-03-05,,mobile,social,Sneakers-Urban-42,Moda,1,72.24,5,67.24
order_211,user_7774,2025-06-16,,mobile,social,Phone-Pro-128GB,Electronica,2,356.39,0,712.78
order_212,user_7893,2025-03-19,,mobile,paid_search,Vacuum-Pro-Black,Hogar,2,376.6,10,743.2
order_213,user_4105,2025-04-25,,desktop,paid_search,Phone-Pro-128GB,Electronica,1,373.18,10,363.18
order_214,user_1200,2025-06-12,,mobile,organic,Vacuum-Pro-Black,Hogar,2,197.44,0,394.87
order_215,user_1463,2025-02-06,,mobile,organic,Blender-XL-Red,Hogar,1,105.68,0,105.68
order_216,user_3529,2025-02-13,,mobile,paid_search,Blender-XL-Red,Hogar,2,315.65,0,631.3
order_217,user_1738,2025-05-18,,desktop,social,Blender-XL-Red,Hogar,2,250.32,5,495.64
order_218,user_1010,2025-05-23,,mobile,organic,Vacuum-Pro-Black,Hogar,2,208.1,0,416.21
order_219,user_4473,2025-01-01,,desktop,organic,Sneakers-Urban-42,Moda,2,367.19,10,724.37
order_220,user_562,2025-06-08,,mobile,paid_search,Jacket-Winter-M,Moda,1,371.39,5,366.39
order_221,user_2589,2025-02-12,,mobile,paid_search,Jacket-Winter-M,Moda,1,194.19,0,194.19
order_222,user_1964,2025-05-04,,desktop,organic,Sneakers-Urban-42,Moda,1,32.88,0,32.88
order_223,user_3107,2025-03-06,,mobile,organic,Blender-XL-Red,Hogar,1,221.98,15,206.98
order_224,user_4192,2025-04-08,,mobile,social,Jacket-Winter-M,Moda,1,119.2,0,119.2
order_225,user_4613,2025-06-11,,desktop,paid_search,Sneakers-Urban-42,Moda,2,209.57,5,414.13
order_226,user_1706,2025-05-11,,mobile,paid_search,Laptop-Gaming-16GB,Electronica,1,265.73,5,260.73
order_227,user_2732,2025-02-11,,desktop,organic,Jacket-Winter-M,Moda,2,121.06,5,237.13
order_228,user_4917,2025-05-25,,mobile,social,Laptop-Gaming-16GB,Electronica,1,302.95,10,292.95
order_229,user_1994,2025-01-23,,desktop,social,Sneakers-Urban-42,Moda,2,255.6,0,511.21
order_230,user_2081,2025-02-01,,mobile,organic,Blender-XL-Red,Hogar,2,270.36,10,530.73
order_231,user_2693,2025-05-23,,desktop,paid_search,Blender-XL-Red,Hogar,2,139.18,5,273.37
order_232,user_5756,2025-04-21,,desktop,organic,Sneakers-Urban-42,Moda,1,150.24,0,150.24
order_233,user_2018,2025-05-10,,mobile,social,Sneakers-Urban-42,Moda,2,139.9,0,279.79
order_234,user_2645,2025-03-23,,mobile,organic,Sneakers-Urban-42,Moda,1,362.06,0,362.06
order_235,user_6255,2025-03-29,,desktop,social,Sneakers-Urban-42,Moda,2,481.24,5,957.49
order_236,user_2154,2025-04-26,,desktop,social,Laptop-Gaming-16GB,Electronica,2,387,5,768.99
order_237,user_4175,2025-06-19,,mobile,social,Vacuum-Pro-Black,Hogar,2,26.57,0,53.14
order_238,user_4267,2025-03-29,,mobile,organic,Phone-Pro-128GB,Electronica,2,71.22,5,137.45
order_239,user_1484,2025-06-03,,desktop,paid_search,Phone-Pro-128GB,Electronica,1,348.24,0,348.24
order_240,user_3793,2025-06-27,,mobile,paid_search,Blender-XL-Red,Hogar,2,120.79,10,231.58
order_241,user_4827,2025-01-01,,mobile,social,Phone-Pro-128GB,Electronica,1,122.6,0,122.6
order_242,user_4877,2025-01-02,,desktop,paid_search,Vacuum-Pro-Black,Hogar,1,137.21,10,127.21
order_243,user_772,2025-06-22,,mobile,organic,Phone-Pro-128GB,Electronica,1,459.59,0,459.59
order_244,user_4245,2025-05-23,,desktop,social,Blender-XL-Red,Hogar,1,53.08,0,53.08
order_245,user_6064,2025-06-30,,mobile,social,Sneakers-Urban-42,Moda,2,207.7,0,415.4
order_246,user_2351,2025-04-11,,desktop,paid_search,Blender-XL-Red,Hogar,2,250.64,10,491.28
order_247,user_7933,2025-06-16,,mobile,social,Tablet-Standard-64GB,Electronica,1,143.42,0,143.42
order_248,user_1542,2025-05-18,,mobile,paid_search,Sneakers-Urban-42,Moda,2,441.15,10,872.31
order_249,user_413,2025-06-21,,desktop,paid_search,Blender-XL-Red,Hogar,1,472.43,0,472.43
order_250,user_999,2025-02-01,,desktop,organic,Jacket-Winter-M,Moda,2,125.67,5,246.34
order_251,user_4946,2025-04-07,,mobile,social,Sneakers-Urban-42,Moda,1,359.2,0,359.2
order_252,user_4116,2025-04-02,,desktop,social,Sneakers-Urban-42,Moda,1,252.06,10,242.06
order_253,user_1372,2025-06-28,,mobile,organic,Jacket-Winter-M,Moda,2,187.1,0,374.21
order_254,user_2888,2025-02-01,,mobile,social,Tablet-Standard-64GB,Electronica,1,453.05,5,448.05
order_255,user_4579,2025-02-19,,mobile,organic,Phone-Pro-128GB,Electronica,1,91.27,0,91.27
order_256,user_5591,2025-02-26,,desktop,paid_search,Vacuum-Pro-Black,Hogar,2,133.84,0,267.68
order_257,user_4276,2025-03-13,,desktop,social,Jacket-Winter-M,Moda,2,481.41,15,947.82
order_258,user_559,2025-04-02,,desktop,paid_search,Blender-XL-Red,Hogar,1,59.51,5,54.51
order_259,user_346,2025-06-07,,mobile,social,Blender-XL-Red,Hogar,2,404.69,5,804.38
order_260,user_1479,2025-02-26,,desktop,social,Vacuum-Pro-Black,Hogar,1,119.15,0,119.15
order_261,user_5138,2025-05-07,,desktop,organic,Phone-Pro-128GB,Electronica,2,209.33,10,408.65
order_262,user_4748,2025-01-10,,mobile,paid_search,Jacket-Winter-M,Moda,2,239.87,0,479.74
order_263,user_2726,2025-06-30,,desktop,social,Blender-XL-Red,Hogar,1,34.68,5,29.68
order_264,user_2133,2025-02-23,,mobile,social,Vacuum-Pro-Black,Hogar,1,331.07,5,326.07
order_265,user_3394,2025-06-13,,desktop,paid_search,Tablet-Standard-64GB,Electronica,1,168.14,5,163.14
order_266,user_7011,2025-03-13,,desktop,paid_search,Phone-Pro-128GB,Electronica,-2,101.31,10,-192.62
order_267,user_1087,2025-05-07,,desktop,social,Phone-Pro-128GB,Electronica,-1,43.5,5,-38.5
order_268,user_84,2025-02-19,,desktop,organic,Phone-Pro-128GB,Electronica,-1,497.65,5,-492.65
order_269,user_3323,2025-05-25,,desktop,paid_search,Phone-Pro-128GB,Electronica,-1,423.53,0,-423.53
order_270,user_7943,2025-06-04,,desktop,organic,Vacuum-Pro-Black,Hogar,2,127.95,0,255.89
